source,campaign,plan,leave_reason,cnt,avg_days_to_churn,avg_months_since_signup
unknown,unknown,twoMonths,割高だと感じた,3,73.0,41.7
unknown,unknown,twoMonths,値段が高いです。,3,17.0,40.3
unknown,unknown,oneMonth,割高だから,3,28.0,53.3
unknown,unknown,oneMonth,価格が高い。,3,341.0,58.3
unknown,unknown,twoMonths,試してみたかったので。,3,50.0,39.7
unknown,unknown,twoMonths,利用しないので,3,173.0,42.3
unknown,unknown,twoMonths,ポイントサイトとクーポンが併用できないため,3,3.0,26.0
unknown,unknown,twoMonths,お値段が高いため,3,47.0,30.7
unknown,unknown,oneMonth,特にない,3,19.0,42.3
unknown,unknown,twoMonths,送料が高い,3,26.0,44.3
unknown,unknown,twoMonths,クーポン使えない,3,3.0,26.0
unknown,unknown,oneMonth,テストCVのため,3,0.0,36.0
unknown,unknown,twoMonths,高額なため,3,11.0,35.0
unknown,unknown,twoMonths,クーポンが併用できないため,3,2.0,26.0
unknown,unknown,oneMonth,転勤のため,3,190.0,63.0
unknown,unknown,oneMonth,転居のため,3,345.0,48.7
unknown,unknown,oneMonth,金銭的な問題,3,97.0,53.3
unknown,unknown,twoMonths,クーポンが使えないから。,3,11.0,26.0
unknown,unknown,oneMonth,期待はずれ,3,39.0,30.7
unknown,unknown,twoMonths,あまり美味しくない,3,146.0,34.3
unknown,unknown,twoMonths,好みのパンが届かない,3,476.0,43.7
unknown,unknown,twoMonths,パンを食べなくなった為,3,244.0,35.7
unknown,unknown,twoMonths,満足したので。,3,138.0,43.3
unknown,unknown,twoMonths,高いから。,3,72.0,31.3
unknown,unknown,oneMonth,食べきれなかった,3,98.0,45.3
unknown,unknown,twoMonths,あまりパンを食べなくなったから,3,528.0,46.7
unknown,unknown,twoMonths,あまり食べなくなったので。,3,574.0,41.3
unknown,unknown,twoMonths,好みのパンが少なかったので,3,217.0,45.7
unknown,unknown,twoMonths,退会,3,30.0,26.0
google,(organic),twoMonths,,3,84.0,9.0
unknown,unknown,twoMonths,価格が高すぎる。,3,16.0,40.0
unknown,unknown,oneMonth,食べきれなかった。,3,177.0,42.0
alliance-coupon,jfrcard_202306,oneMonth,,3,96.0,6.0
unknown,unknown,oneMonth,好みに合わない,3,68.0,39.7
unknown,unknown,twoMonths,退会希望,3,21.0,26.0
unknown,unknown,twoMonths,クーポン使用不可,3,3.0,26.0
unknown,unknown,oneMonth,好みではなかった,3,83.0,39.3
unknown,unknown,twoMonths,金銭的な理由です。,3,206.0,42.7
unknown,unknown,oneMonth,コストパフォーマンス,3,95.0,39.0
unknown,unknown,oneMonth,必要なくなりました,3,168.0,33.0
unknown,unknown,twoMonths,？,3,13.0,26.0
unknown,unknown,twoMonths,お試しだったから,3,45.0,38.0
unknown,unknown,oneMonth,お試しで登録したから,3,17.0,40.7
unknown,unknown,twoMonths,必要なくなったので。,3,103.0,31.7
unknown,unknown,twoMonths,パンをあまり食べなくなった,3,331.0,45.7
unknown,unknown,twoMonths,食べきれない。,3,138.0,51.3
unknown,unknown,oneMonth,食べきれない為,3,233.0,33.7
unknown,unknown,twoMonths,間違えた,3,0.0,38.7
unknown,unknown,oneMonth,パンをあまり食べなくなったため,3,276.0,53.3
unknown,unknown,oneMonth,必要なくなったので,3,693.0,52.7
unknown,unknown,oneMonth,金額が高いので,3,271.0,49.3
unknown,unknown,twoMonths,ポイントサイトとクーポンの併用不可のため,3,2.0,26.0
unknown,unknown,twoMonths,冷蔵庫に入りきらなかった,3,14.0,36.0
unknown,unknown,twoMonths,a,3,81.0,26.7
unknown,unknown,twoMonths,金額が高いから,3,213.0,50.7
unknown,unknown,twoMonths,量が多い,3,42.0,36.0
